Well_ID	Treatment	N_Source	miRNA	Pair	Dose (uM)	Time	OD_600
A4	N.A.	L-Lysine	N.A.	2	N.A.	6	0.155900002
B1	N.A.	L-Lysine	N.A.	1	N.A.	6	0.093500003
B3	scrambled_miRNA	L-Lysine	ath827	2	2	6	0.162200004
B4	plant_miRNA	L-Lysine	ath827	2	2	6	0.163599998
C1	scrambled_miRNA	L-Lysine	ath827	3	2	6	0.122400001
C2	N.A.	L-Lysine	N.A.	3	N.A.	6	0.143199995
C3	plant_miRNA	L-Lysine	ath827	4	2	6	0.210500002
C4	N.A.	L-Lysine	N.A.	4	N.A.	6	0.143099993
C6	plant_miRNA	L-Lysine	ath827	5	2	6	0.219099998
D2	plant_miRNA	L-Lysine	ath827	3	2	6	0.157199994
D3	scrambled_miRNA	L-Lysine	ath827	4	2	6	0.154300004
D5	scrambled_miRNA	L-Lysine	ath827	5	2	6	0.175699994
D6	N.A.	L-Lysine	N.A.	5	N.A.	6	0.081200004
A1	plant_miRNA	L-Lysine	ath827	1	2	7	0.168400005
A2	scrambled_miRNA	L-Lysine	ath827	1	2	7	0.228200004
A4	N.A.	L-Lysine	N.A.	2	N.A.	7	0.150600001
B1	N.A.	L-Lysine	N.A.	1	N.A.	7	0.080200002
B3	scrambled_miRNA	L-Lysine	ath827	2	2	7	0.166500002
B4	plant_miRNA	L-Lysine	ath827	2	2	7	0.165199995
C1	scrambled_miRNA	L-Lysine	ath827	3	2	7	0.122599997
C2	N.A.	L-Lysine	N.A.	3	N.A.	7	0.137799993
C3	plant_miRNA	L-Lysine	ath827	4	2	7	0.212099999
C4	N.A.	L-Lysine	N.A.	4	N.A.	7	0.141299993
C6	plant_miRNA	L-Lysine	ath827	5	2	7	0.214900002
D2	plant_miRNA	L-Lysine	ath827	3	2	7	0.1505
D3	scrambled_miRNA	L-Lysine	ath827	4	2	7	0.144899994
D5	scrambled_miRNA	L-Lysine	ath827	5	2	7	0.174899995
D6	N.A.	L-Lysine	N.A.	5	N.A.	7	0.069399998
A1	plant_miRNA	L-Lysine	ath827	1	2	8	0.167400002
A2	scrambled_miRNA	L-Lysine	ath827	1	2	8	0.230299994
A4	N.A.	L-Lysine	N.A.	2	N.A.	8	0.151199996
B1	N.A.	L-Lysine	N.A.	1	N.A.	8	0.088399999
B3	scrambled_miRNA	L-Lysine	ath827	2	2	8	0.171499997
B4	plant_miRNA	L-Lysine	ath827	2	2	8	0.172000006
C1	scrambled_miRNA	L-Lysine	ath827	3	2	8	0.131899998
C2	N.A.	L-Lysine	N.A.	3	N.A.	8	0.142499998
C3	plant_miRNA	L-Lysine	ath827	4	2	8	0.223900005
C4	N.A.	L-Lysine	N.A.	4	N.A.	8	0.137700006
C6	plant_miRNA	L-Lysine	ath827	5	2	8	0.218700007
D2	plant_miRNA	L-Lysine	ath827	3	2	8	0.154400006
D3	scrambled_miRNA	L-Lysine	ath827	4	2	8	0.144500002
D5	scrambled_miRNA	L-Lysine	ath827	5	2	8	0.171399996
D6	N.A.	L-Lysine	N.A.	5	N.A.	8	0.070299998
A1	plant_miRNA	L-Lysine	ath827	1	2	9	0.214499995
A2	scrambled_miRNA	L-Lysine	ath827	1	2	9	0.236699998
A4	N.A.	L-Lysine	N.A.	2	N.A.	9	0.157900006
B1	N.A.	L-Lysine	N.A.	1	N.A.	9	0.093900003
B3	scrambled_miRNA	L-Lysine	ath827	2	2	9	0.172900006
B4	plant_miRNA	L-Lysine	ath827	2	2	9	0.173199996
C1	scrambled_miRNA	L-Lysine	ath827	3	2	9	0.1329
C2	N.A.	L-Lysine	N.A.	3	N.A.	9	0.143000007
C3	plant_miRNA	L-Lysine	ath827	4	2	9	0.222800002
C4	N.A.	L-Lysine	N.A.	4	N.A.	9	0.147699997
C6	plant_miRNA	L-Lysine	ath827	5	2	9	0.229900002
D2	plant_miRNA	L-Lysine	ath827	3	2	9	0.163699999
D3	scrambled_miRNA	L-Lysine	ath827	4	2	9	0.153600007
D5	scrambled_miRNA	L-Lysine	ath827	5	2	9	0.172000006
D6	N.A.	L-Lysine	N.A.	5	N.A.	9	0.078900002
A1	plant_miRNA	L-Lysine	ath827	1	2	10	0.226999998
A2	scrambled_miRNA	L-Lysine	ath827	1	2	10	0.239500001
A4	N.A.	L-Lysine	N.A.	2	N.A.	10	0.158299997
B1	N.A.	L-Lysine	N.A.	1	N.A.	10	0.095200002
B3	scrambled_miRNA	L-Lysine	ath827	2	2	10	0.176100001
B4	plant_miRNA	L-Lysine	ath827	2	2	10	0.179900005
C1	scrambled_miRNA	L-Lysine	ath827	3	2	10	0.134499997
C2	N.A.	L-Lysine	N.A.	3	N.A.	10	0.142900005
C3	plant_miRNA	L-Lysine	ath827	4	2	10	0.224700004
C4	N.A.	L-Lysine	N.A.	4	N.A.	10	0.1479
C6	plant_miRNA	L-Lysine	ath827	5	2	10	0.236100003
D2	plant_miRNA	L-Lysine	ath827	3	2	10	0.168099999
D3	scrambled_miRNA	L-Lysine	ath827	4	2	10	0.155900002
D5	scrambled_miRNA	L-Lysine	ath827	5	2	10	0.1734
D6	N.A.	L-Lysine	N.A.	5	N.A.	10	0.0788
A1	plant_miRNA	L-Lysine	ath827	1	2	11	0.237100005
A2	scrambled_miRNA	L-Lysine	ath827	1	2	11	0.251700014
A4	N.A.	L-Lysine	N.A.	2	N.A.	11	0.161300004
B1	N.A.	L-Lysine	N.A.	1	N.A.	11	0.094400004
B3	scrambled_miRNA	L-Lysine	ath827	2	2	11	0.183699995
B4	plant_miRNA	L-Lysine	ath827	2	2	11	0.183500007
C1	scrambled_miRNA	L-Lysine	ath827	3	2	11	0.138899997
C2	N.A.	L-Lysine	N.A.	3	N.A.	11	0.1426
C3	plant_miRNA	L-Lysine	ath827	4	2	11	0.227699995
C4	N.A.	L-Lysine	N.A.	4	N.A.	11	0.149399996
C6	plant_miRNA	L-Lysine	ath827	5	2	11	0.248099998
D2	plant_miRNA	L-Lysine	ath827	3	2	11	0.174400002
D3	scrambled_miRNA	L-Lysine	ath827	4	2	11	0.159700006
D5	scrambled_miRNA	L-Lysine	ath827	5	2	11	0.178499997
D6	N.A.	L-Lysine	N.A.	5	N.A.	11	0.078900002
A1	plant_miRNA	L-Lysine	ath827	1	2	12	0.2403
A2	scrambled_miRNA	L-Lysine	ath827	1	2	12	0.268900007
A4	N.A.	L-Lysine	N.A.	2	N.A.	12	0.162699997
B1	N.A.	L-Lysine	N.A.	1	N.A.	12	0.095299996
B3	scrambled_miRNA	L-Lysine	ath827	2	2	12	0.190200001
B4	plant_miRNA	L-Lysine	ath827	2	2	12	0.191100001
C1	scrambled_miRNA	L-Lysine	ath827	3	2	12	0.143199995
C2	N.A.	L-Lysine	N.A.	3	N.A.	12	0.143099993
C3	plant_miRNA	L-Lysine	ath827	4	2	12	0.232299998
C4	N.A.	L-Lysine	N.A.	4	N.A.	12	0.148599997
C6	plant_miRNA	L-Lysine	ath827	5	2	12	0.256500006
D2	plant_miRNA	L-Lysine	ath827	3	2	12	0.179399997
D3	scrambled_miRNA	L-Lysine	ath827	4	2	12	0.163200006
D5	scrambled_miRNA	L-Lysine	ath827	5	2	12	0.182699993
D6	N.A.	L-Lysine	N.A.	5	N.A.	12	0.078699999
A1	plant_miRNA	L-Lysine	ath827	1	2	13	0.251700014
A2	scrambled_miRNA	L-Lysine	ath827	1	2	13	0.278100014
A4	N.A.	L-Lysine	N.A.	2	N.A.	13	0.165900007
B1	N.A.	L-Lysine	N.A.	1	N.A.	13	0.094400004
B3	scrambled_miRNA	L-Lysine	ath827	2	2	13	0.201499999
B4	plant_miRNA	L-Lysine	ath827	2	2	13	0.201199993
C1	scrambled_miRNA	L-Lysine	ath827	3	2	13	0.151800007
C2	N.A.	L-Lysine	N.A.	3	N.A.	13	0.142299995
C3	plant_miRNA	L-Lysine	ath827	4	2	13	0.240099996
C4	N.A.	L-Lysine	N.A.	4	N.A.	13	0.148800001
C6	plant_miRNA	L-Lysine	ath827	5	2	13	0.266600013
D2	plant_miRNA	L-Lysine	ath827	3	2	13	0.187199995
D3	scrambled_miRNA	L-Lysine	ath827	4	2	13	0.168699995
D5	scrambled_miRNA	L-Lysine	ath827	5	2	13	0.191100001
D6	N.A.	L-Lysine	N.A.	5	N.A.	13	0.078599997
A1	plant_miRNA	L-Lysine	ath827	1	2	14	0.268599987
A2	scrambled_miRNA	L-Lysine	ath827	1	2	14	0.296600014
A4	N.A.	L-Lysine	N.A.	2	N.A.	14	0.168300003
B1	N.A.	L-Lysine	N.A.	1	N.A.	14	0.094899997
B3	scrambled_miRNA	L-Lysine	ath827	2	2	14	0.219699994
B4	plant_miRNA	L-Lysine	ath827	2	2	14	0.2139
C1	scrambled_miRNA	L-Lysine	ath827	3	2	14	0.165600002
C2	N.A.	L-Lysine	N.A.	3	N.A.	14	0.142299995
C3	plant_miRNA	L-Lysine	ath827	4	2	14	0.249899998
C4	N.A.	L-Lysine	N.A.	4	N.A.	14	0.148800001
C6	plant_miRNA	L-Lysine	ath827	5	2	14	0.28459999
D2	plant_miRNA	L-Lysine	ath827	3	2	14	0.200800002
D3	scrambled_miRNA	L-Lysine	ath827	4	2	14	0.1743
D5	scrambled_miRNA	L-Lysine	ath827	5	2	14	0.205300003
D6	N.A.	L-Lysine	N.A.	5	N.A.	14	0.078699999
A1	plant_miRNA	L-Lysine	ath827	1	2	15	0.297300011
A2	scrambled_miRNA	L-Lysine	ath827	1	2	15	0.326000005
A4	N.A.	L-Lysine	N.A.	2	N.A.	15	0.170200005
B1	N.A.	L-Lysine	N.A.	1	N.A.	15	0.096699998
B3	scrambled_miRNA	L-Lysine	ath827	2	2	15	0.242599994
B4	plant_miRNA	L-Lysine	ath827	2	2	15	0.235200003
C1	scrambled_miRNA	L-Lysine	ath827	3	2	15	0.184799999
C2	N.A.	L-Lysine	N.A.	3	N.A.	15	0.142299995
C3	plant_miRNA	L-Lysine	ath827	4	2	15	0.267800003
C4	N.A.	L-Lysine	N.A.	4	N.A.	15	0.148900002
C6	plant_miRNA	L-Lysine	ath827	5	2	15	0.308899999
D2	plant_miRNA	L-Lysine	ath827	3	2	15	0.219400004
D3	scrambled_miRNA	L-Lysine	ath827	4	2	15	0.189099997
D5	scrambled_miRNA	L-Lysine	ath827	5	2	15	0.226699993
D6	N.A.	L-Lysine	N.A.	5	N.A.	15	0.079000004
A1	plant_miRNA	L-Lysine	ath827	1	2	16	0.350400001
A2	scrambled_miRNA	L-Lysine	ath827	1	2	16	0.371600002
A4	N.A.	L-Lysine	N.A.	2	N.A.	16	0.173600003
B1	N.A.	L-Lysine	N.A.	1	N.A.	16	0.096600004
B3	scrambled_miRNA	L-Lysine	ath827	2	2	16	0.270599991
B4	plant_miRNA	L-Lysine	ath827	2	2	16	0.272100002
C1	scrambled_miRNA	L-Lysine	ath827	3	2	16	0.2104
C2	N.A.	L-Lysine	N.A.	3	N.A.	16	0.142000005
C3	plant_miRNA	L-Lysine	ath827	4	2	16	0.296099991
C4	N.A.	L-Lysine	N.A.	4	N.A.	16	0.150099993
C6	plant_miRNA	L-Lysine	ath827	5	2	16	0.352100015
D2	plant_miRNA	L-Lysine	ath827	3	2	16	0.248600006
D3	scrambled_miRNA	L-Lysine	ath827	4	2	16	0.211999997
D5	scrambled_miRNA	L-Lysine	ath827	5	2	16	0.25819999
D6	N.A.	L-Lysine	N.A.	5	N.A.	16	0.0788
A1	plant_miRNA	L-Lysine	ath827	1	2	17	0.350400001
A2	scrambled_miRNA	L-Lysine	ath827	1	2	17	0.371600002
A4	N.A.	L-Lysine	N.A.	2	N.A.	17	0.173600003
B1	N.A.	L-Lysine	N.A.	1	N.A.	17	0.096600004
B3	scrambled_miRNA	L-Lysine	ath827	2	2	17	0.270599991
B4	plant_miRNA	L-Lysine	ath827	2	2	17	0.272100002
C1	scrambled_miRNA	L-Lysine	ath827	3	2	17	0.2104
C2	N.A.	L-Lysine	N.A.	3	N.A.	17	0.142000005
C3	plant_miRNA	L-Lysine	ath827	4	2	17	0.296099991
C4	N.A.	L-Lysine	N.A.	4	N.A.	17	0.150099993
C6	plant_miRNA	L-Lysine	ath827	5	2	17	0.352100015
D2	plant_miRNA	L-Lysine	ath827	3	2	17	0.248600006
D3	scrambled_miRNA	L-Lysine	ath827	4	2	17	0.211999997
D5	scrambled_miRNA	L-Lysine	ath827	5	2	17	0.25819999
D6	N.A.	L-Lysine	N.A.	5	N.A.	17	0.0788
A1	plant_miRNA	L-Lysine	ath827	1	2	18	0.3935
A2	scrambled_miRNA	L-Lysine	ath827	1	2	18	0.405900002
A4	N.A.	L-Lysine	N.A.	2	N.A.	18	0.175899997
B1	N.A.	L-Lysine	N.A.	1	N.A.	18	0.096799999
B3	scrambled_miRNA	L-Lysine	ath827	2	2	18	0.308800012
B4	plant_miRNA	L-Lysine	ath827	2	2	18	0.315699995
C1	scrambled_miRNA	L-Lysine	ath827	3	2	18	0.242200002
C2	N.A.	L-Lysine	N.A.	3	N.A.	18	0.142000005
C3	plant_miRNA	L-Lysine	ath827	4	2	18	0.329699993
C4	N.A.	L-Lysine	N.A.	4	N.A.	18	0.149599999
C6	plant_miRNA	L-Lysine	ath827	5	2	18	0.394800007
D2	plant_miRNA	L-Lysine	ath827	3	2	18	0.291999996
D3	scrambled_miRNA	L-Lysine	ath827	4	2	18	0.2403
D5	scrambled_miRNA	L-Lysine	ath827	5	2	18	0.2958
D6	N.A.	L-Lysine	N.A.	5	N.A.	18	0.078699999
A1	plant_miRNA	L-Lysine	ath827	1	2	19	0.427599996
A2	scrambled_miRNA	L-Lysine	ath827	1	2	19	0.436399996
A4	N.A.	L-Lysine	N.A.	2	N.A.	19	0.176899999
B1	N.A.	L-Lysine	N.A.	1	N.A.	19	0.0986
B3	scrambled_miRNA	L-Lysine	ath827	2	2	19	0.355399996
B4	plant_miRNA	L-Lysine	ath827	2	2	19	0.353300005
C1	scrambled_miRNA	L-Lysine	ath827	3	2	19	0.286500007
C2	N.A.	L-Lysine	N.A.	3	N.A.	19	0.141599998
C3	plant_miRNA	L-Lysine	ath827	4	2	19	0.378100008
C4	N.A.	L-Lysine	N.A.	4	N.A.	19	0.149100006
C6	plant_miRNA	L-Lysine	ath827	5	2	19	0.438300014
D2	plant_miRNA	L-Lysine	ath827	3	2	19	0.337900013
D3	scrambled_miRNA	L-Lysine	ath827	4	2	19	0.278800011
D5	scrambled_miRNA	L-Lysine	ath827	5	2	19	0.333499998
D6	N.A.	L-Lysine	N.A.	5	N.A.	19	0.078699999
A1	plant_miRNA	L-Lysine	ath827	1	2	20	0.454400003
A2	scrambled_miRNA	L-Lysine	ath827	1	2	20	0.46419999
A4	N.A.	L-Lysine	N.A.	2	N.A.	20	0.178100005
B1	N.A.	L-Lysine	N.A.	1	N.A.	20	0.099100001
B3	scrambled_miRNA	L-Lysine	ath827	2	2	20	0.382800013
B4	plant_miRNA	L-Lysine	ath827	2	2	20	0.377099991
C1	scrambled_miRNA	L-Lysine	ath827	3	2	20	0.320899993
C2	N.A.	L-Lysine	N.A.	3	N.A.	20	0.140799999
C3	plant_miRNA	L-Lysine	ath827	4	2	20	0.425099999
C4	N.A.	L-Lysine	N.A.	4	N.A.	20	0.151899993
C6	plant_miRNA	L-Lysine	ath827	5	2	20	0.464300007
D2	plant_miRNA	L-Lysine	ath827	3	2	20	0.370999992
D3	scrambled_miRNA	L-Lysine	ath827	4	2	20	0.321500003
D5	scrambled_miRNA	L-Lysine	ath827	5	2	20	0.354099989
D6	N.A.	L-Lysine	N.A.	5	N.A.	20	0.0779
A1	plant_miRNA	L-Lysine	ath827	1	2	21	0.377200007
A2	scrambled_miRNA	L-Lysine	ath827	1	2	21	0.417100012
A4	N.A.	L-Lysine	N.A.	2	N.A.	21	0.154699996
B1	N.A.	L-Lysine	N.A.	1	N.A.	21	0.102399997
B3	scrambled_miRNA	L-Lysine	ath827	2	2	21	0.324000001
B4	plant_miRNA	L-Lysine	ath827	2	2	21	0.337700009
C1	scrambled_miRNA	L-Lysine	ath827	3	2	21	0.277500004
C2	N.A.	L-Lysine	N.A.	3	N.A.	21	0.144400001
C3	plant_miRNA	L-Lysine	ath827	4	2	21	0.369599998
C4	N.A.	L-Lysine	N.A.	4	N.A.	21	0.148200005
C6	plant_miRNA	L-Lysine	ath827	5	2	21	0.416999996
D2	plant_miRNA	L-Lysine	ath827	3	2	21	0.338
D3	scrambled_miRNA	L-Lysine	ath827	4	2	21	0.303799987
D5	scrambled_miRNA	L-Lysine	ath827	5	2	21	0.311699986
D6	N.A.	L-Lysine	N.A.	5	N.A.	21	0.071000002
A1	plant_miRNA	L-Lysine	ath827	1	2	22	0.378500015
A2	scrambled_miRNA	L-Lysine	ath827	1	2	22	0.421499997
A4	N.A.	L-Lysine	N.A.	2	N.A.	22	0.146300003
B1	N.A.	L-Lysine	N.A.	1	N.A.	22	0.103299998
B3	scrambled_miRNA	L-Lysine	ath827	2	2	22	0.35769999
B4	plant_miRNA	L-Lysine	ath827	2	2	22	0.369300008
C1	scrambled_miRNA	L-Lysine	ath827	3	2	22	0.285699993
C2	N.A.	L-Lysine	N.A.	3	N.A.	22	0.145099998
C3	plant_miRNA	L-Lysine	ath827	4	2	22	0.412800014
C4	N.A.	L-Lysine	N.A.	4	N.A.	22	0.148200005
C6	plant_miRNA	L-Lysine	ath827	5	2	22	0.444700003
D2	plant_miRNA	L-Lysine	ath827	3	2	22	0.3398
D3	scrambled_miRNA	L-Lysine	ath827	4	2	22	0.341399997
D5	scrambled_miRNA	L-Lysine	ath827	5	2	22	0.306899995
D6	N.A.	L-Lysine	N.A.	5	N.A.	22	0.068800002
A1	plant_miRNA	L-Lysine	ath827	1	2	23	0.343300015
A2	scrambled_miRNA	L-Lysine	ath827	1	2	23	0.307700008
A4	N.A.	L-Lysine	N.A.	2	N.A.	23	0.123400003
B1	N.A.	L-Lysine	N.A.	1	N.A.	23	0.091499999
B3	scrambled_miRNA	L-Lysine	ath827	2	2	23	0.305000007
B4	plant_miRNA	L-Lysine	ath827	2	2	23	0.3495
C1	scrambled_miRNA	L-Lysine	ath827	3	2	23	0.317299992
C2	N.A.	L-Lysine	N.A.	3	N.A.	23	0.115400001
C3	plant_miRNA	L-Lysine	ath827	4	2	23	0.305599988
C4	N.A.	L-Lysine	N.A.	4	N.A.	23	0.104099996
C6	plant_miRNA	L-Lysine	ath827	5	2	23	0.328000009
D2	plant_miRNA	L-Lysine	ath827	3	2	23	0.239399999
D3	scrambled_miRNA	L-Lysine	ath827	4	2	23	0.292299986
D5	scrambled_miRNA	L-Lysine	ath827	5	2	23	0.269899994
D6	N.A.	L-Lysine	N.A.	5	N.A.	23	0.080399998
A1	plant_miRNA	L-Lysine	ath827	1	2	24	0.315200001
A2	scrambled_miRNA	L-Lysine	ath827	1	2	24	0.317499995
A4	N.A.	L-Lysine	N.A.	2	N.A.	24	0.120499998
B1	N.A.	L-Lysine	N.A.	1	N.A.	24	0.103
B3	scrambled_miRNA	L-Lysine	ath827	2	2	24	0.322600007
B4	plant_miRNA	L-Lysine	ath827	2	2	24	0.373699993
C1	scrambled_miRNA	L-Lysine	ath827	3	2	24	0.330000013
C2	N.A.	L-Lysine	N.A.	3	N.A.	24	0.111299999
C3	plant_miRNA	L-Lysine	ath827	4	2	24	0.328000009
C4	N.A.	L-Lysine	N.A.	4	N.A.	24	0.102399997
C6	plant_miRNA	L-Lysine	ath827	5	2	24	0.333099991
D2	plant_miRNA	L-Lysine	ath827	3	2	24	0.246900007
D3	scrambled_miRNA	L-Lysine	ath827	4	2	24	0.310099989
D5	scrambled_miRNA	L-Lysine	ath827	5	2	24	0.274800003
D6	N.A.	L-Lysine	N.A.	5	N.A.	24	0.081699997
A1	plant_miRNA	L-Lysine	ath827	1	2	25	0.324900001
A2	scrambled_miRNA	L-Lysine	ath827	1	2	25	0.325800002
A4	N.A.	L-Lysine	N.A.	2	N.A.	25	0.130199999
B1	N.A.	L-Lysine	N.A.	1	N.A.	25	0.100299999
B3	scrambled_miRNA	L-Lysine	ath827	2	2	25	0.340200007
B4	plant_miRNA	L-Lysine	ath827	2	2	25	0.378699988
C1	scrambled_miRNA	L-Lysine	ath827	3	2	25	0.351700008
C2	N.A.	L-Lysine	N.A.	3	N.A.	25	0.1259
C3	plant_miRNA	L-Lysine	ath827	4	2	25	0.369399995
C4	N.A.	L-Lysine	N.A.	4	N.A.	25	0.107600003
C6	plant_miRNA	L-Lysine	ath827	5	2	25	0.310299993
D2	plant_miRNA	L-Lysine	ath827	3	2	25	0.268700004
D3	scrambled_miRNA	L-Lysine	ath827	4	2	25	0.341399997
D5	scrambled_miRNA	L-Lysine	ath827	5	2	25	0.290600002
D6	N.A.	L-Lysine	N.A.	5	N.A.	25	0.078199998
A1	plant_miRNA	L-Lysine	ath827	1	2	26	0.334100008
A2	scrambled_miRNA	L-Lysine	ath827	1	2	26	0.335200012
A4	N.A.	L-Lysine	N.A.	2	N.A.	26	0.131699994
B1	N.A.	L-Lysine	N.A.	1	N.A.	26	0.1153
B3	scrambled_miRNA	L-Lysine	ath827	2	2	26	0.376300007
B4	plant_miRNA	L-Lysine	ath827	2	2	26	0.393900007
C1	scrambled_miRNA	L-Lysine	ath827	3	2	26	0.344000012
C2	N.A.	L-Lysine	N.A.	3	N.A.	26	0.118299998
