Well_ID	Treatment	N_source	miRNA	Pair	Dose(uM)	Time	OD_600
E7	scrambled_miRNA	L-Proline	ath827	3	2	0	0.103500001
E8	plant_miRNA	L-Proline	ath827	4	2	0	0.101300001
E9	scrambled_miRNA	L-Proline	aof159	4	2	0	0.098200001
E10	scrambled_miRNA	L-Proline	ath158a3p	5	2	0	0.105599999
E11	scrambled_miRNA	L-Proline	ath5642b	5	2	0	0.108000003
F2	scrambled_miRNA	L-Proline	ath158a3p	1	2	0	0.105599999
F3	plant_miRNA	L-Proline	ath158b	1	2	0	0.1052
F4	plant_miRNA	L-Proline	ath158a3p	2	2	0	0.098899998
F5	N.A	L-Proline	N.A.	2	N.A.	0	0.082699999
F6	scrambled_miRNA	L-Proline	ath158b	3	2	0	0.101499997
F7	plant_miRNA	L-Proline	aof159	3	2	0	0.092100002
F8	plant_miRNA	L-Proline	ath5642b	4	2	0	0.101599999
F9	N.A	L-Proline	N.A.	4	N.A.	0	0.080899999
F10	plant_miRNA	L-Proline	aof159	5	2	0	0.094599999
F11	plant_miRNA	L-Proline	ath827	5	2	0	0.092100002
G2	plant_miRNA	L-Proline	ath158a3p	1	2	0	0.083899997
G3	scrambled_miRNA	L-Proline	ath158b	1	2	0	0.079400003
G4	scrambled_miRNA	L-Proline	ath158a3p	2	2	0	0.163499996
G5	N.A	L-Proline	N.A.	2	N.A.	0	0.139699996
G6	plant_miRNA	L-Proline	ath158b	3	2	0	0.116599999
G7	scrambled_miRNA	L-Proline	aof159	3	2	0	0.085199997
G8	scrambled_miRNA	L-Proline	ath5642b	4	2	0	0.079899997
G9	N.A	L-Proline	N.A.	4	N.A.	0	0.077799998
G10	scrambled_miRNA	L-Proline	aof159	5	2	0	0.085299999
G11	scrambled_miRNA	L-Proline	ath827	5	2	0	0.082999997
B2	plant_miRNA	L-Proline	ath827	1	2	1	0.090700001
B3	N.A	L-Proline	N.A.	1	N.A.	1	0.086800002
B4	scrambled_miRNA	L-Proline	aof159	2	2	1	0.098099999
B5	scrambled_miRNA	L-Proline	ath5642b	2	2	1	0.092900001
B6	scrambled_miRNA	L-Proline	ath158a3p	3	2	1	0.099799998
B7	plant_miRNA	L-Proline	ath5642b	3	2	1	0.090800002
B8	scrambled_miRNA	L-Proline	ath158b	4	2	1	0.084600002
B9	plant_miRNA	L-Proline	ath158a3p	4	2	1	0.0858
B10	plant_miRNA	L-Proline	ath158b	5	2	1	0.093500003
B11	N.A	L-Proline	N.A.	5	N.A.	1	0.074500002
C2	scrambled_miRNA	L-Proline	ath827	1	2	1	0.082800001
C3	N.A	L-Proline	N.A.	1	N.A.	1	0.069499999
C4	plant_miRNA	L-Proline	aof159	2	2	1	0.080799997
C5	plant_miRNA	L-Proline	ath5642b	2	2	1	0.081799999
C6	plant_miRNA	L-Proline	ath158a3p	3	2	1	0.086099997
C7	scrambled_miRNA	L-Proline	ath5642b	3	2	1	0.088600002
C8	plant_miRNA	L-Proline	ath158b	4	2	1	0.088500001
C9	scrambled_miRNA	L-Proline	ath158a3p	4	2	1	0.088100001
C10	scrambled_miRNA	L-Proline	ath158b	5	2	1	0.086300001
C11	N.A	L-Proline	N.A.	5	N.A.	1	0.065099999
D2	plant_miRNA	L-Proline	ath5642b	1	2	1	0.088699996
D3	plant_miRNA	L-Proline	aof159	1	2	1	0.089400001
D4	scrambled_miRNA	L-Proline	ath827	2	2	1	0.083800003
D5	scrambled_miRNA	L-Proline	ath158b	2	2	1	0.091899998
D6	N.A	L-Proline	N.A.	3	N.A.	1	0.076200001
D7	plant_miRNA	L-Proline	ath827	3	2	1	0.088399999
D8	scrambled_miRNA	L-Proline	ath827	4	2	1	0.087700002
D9	plant_miRNA	L-Proline	aof159	4	2	1	0.0889
D10	plant_miRNA	L-Proline	ath158a3p	5	2	1	0.085600004
D11	plant_miRNA	L-Proline	ath5642b	5	2	1	0.078699999
E2	scrambled_miRNA	L-Proline	ath5642b	1	2	1	0.101400003
E3	scrambled_miRNA	L-Proline	aof159	1	2	1	0.107699998
E4	plant_miRNA	L-Proline	ath827	2	2	1	0.1017
E5	plant_miRNA	L-Proline	ath158b	2	2	1	0.092900001
E6	N.A	L-Proline	N.A.	3	N.A.	1	0.087800004
E7	scrambled_miRNA	L-Proline	ath827	3	2	1	0.0986
E8	plant_miRNA	L-Proline	ath827	4	2	1	0.101899996
E9	scrambled_miRNA	L-Proline	aof159	4	2	1	0.100000001
E10	scrambled_miRNA	L-Proline	ath158a3p	5	2	1	0.108599998
E11	scrambled_miRNA	L-Proline	ath5642b	5	2	1	0.1065
F2	scrambled_miRNA	L-Proline	ath158a3p	1	2	1	0.096199997
F3	plant_miRNA	L-Proline	ath158b	1	2	1	0.099799998
F4	plant_miRNA	L-Proline	ath158a3p	2	2	1	0.101300001
F5	N.A	L-Proline	N.A.	2	N.A.	1	0.075400002
F6	scrambled_miRNA	L-Proline	ath158b	3	2	1	0.086900003
F7	plant_miRNA	L-Proline	aof159	3	2	1	0.090000004
F8	plant_miRNA	L-Proline	ath5642b	4	2	1	0.088100001
F9	N.A	L-Proline	N.A.	4	N.A.	1	0.075199999
F10	plant_miRNA	L-Proline	aof159	5	2	1	0.093400002
F11	plant_miRNA	L-Proline	ath827	5	2	1	0.089299999
G2	plant_miRNA	L-Proline	ath158a3p	1	2	1	0.0845
G3	scrambled_miRNA	L-Proline	ath158b	1	2	1	0.082500003
G4	scrambled_miRNA	L-Proline	ath158a3p	2	2	1	0.081799999
G5	N.A	L-Proline	N.A.	2	N.A.	1	0.073299997
G6	plant_miRNA	L-Proline	ath158b	3	2	1	0.083300002
G7	scrambled_miRNA	L-Proline	aof159	3	2	1	0.077600002
G8	scrambled_miRNA	L-Proline	ath5642b	4	2	1	0.079099998
G9	N.A	L-Proline	N.A.	4	N.A.	1	0.075900003
G10	scrambled_miRNA	L-Proline	aof159	5	2	1	0.087200001
G11	scrambled_miRNA	L-Proline	ath827	5	2	1	0.088299997
B2	plant_miRNA	L-Proline	ath827	1	2	2	0.106600001
B3	N.A	L-Proline	N.A.	1	N.A.	2	0.088699996
B4	scrambled_miRNA	L-Proline	aof159	2	2	2	0.103500001
B5	scrambled_miRNA	L-Proline	ath5642b	2	2	2	0.101300001
B6	scrambled_miRNA	L-Proline	ath158a3p	3	2	2	0.105099998
B7	plant_miRNA	L-Proline	ath5642b	3	2	2	0.099200003
B8	scrambled_miRNA	L-Proline	ath158b	4	2	2	0.103299998
B9	plant_miRNA	L-Proline	ath158a3p	4	2	2	0.107799999
B10	plant_miRNA	L-Proline	ath158b	5	2	2	0.1017
B11	N.A	L-Proline	N.A.	5	N.A.	2	0.075400002
C2	scrambled_miRNA	L-Proline	ath827	1	2	2	0.087399997
C3	N.A	L-Proline	N.A.	1	N.A.	2	0.076399997
C4	plant_miRNA	L-Proline	aof159	2	2	2	0.098999999
C5	plant_miRNA	L-Proline	ath5642b	2	2	2	0.095799997
C6	plant_miRNA	L-Proline	ath158a3p	3	2	2	0.091200002
C7	scrambled_miRNA	L-Proline	ath5642b	3	2	2	0.088100001
C8	plant_miRNA	L-Proline	ath158b	4	2	2	0.096299998
C9	scrambled_miRNA	L-Proline	ath158a3p	4	2	2	0.091200002
C10	scrambled_miRNA	L-Proline	ath158b	5	2	2	0.090899996
C11	N.A	L-Proline	N.A.	5	N.A.	2	0.065099999
D2	plant_miRNA	L-Proline	ath5642b	1	2	2	0.103
D3	plant_miRNA	L-Proline	aof159	1	2	2	0.093900003
D4	scrambled_miRNA	L-Proline	ath827	2	2	2	0.098800004
D5	scrambled_miRNA	L-Proline	ath158b	2	2	2	0.100100003
D6	N.A	L-Proline	N.A.	3	N.A.	2	0.078699999
D7	plant_miRNA	L-Proline	ath827	3	2	2	0.092399999
D8	scrambled_miRNA	L-Proline	ath827	4	2	2	0.097599998
D9	plant_miRNA	L-Proline	aof159	4	2	2	0.101099998
D10	plant_miRNA	L-Proline	ath158a3p	5	2	2	0.099699996
D11	plant_miRNA	L-Proline	ath5642b	5	2	2	0.092299998
E2	scrambled_miRNA	L-Proline	ath5642b	1	2	2	0.115400001
E3	scrambled_miRNA	L-Proline	aof159	1	2	2	0.107500002
E4	plant_miRNA	L-Proline	ath827	2	2	2	0.110299997
E5	plant_miRNA	L-Proline	ath158b	2	2	2	0.109899998
E6	N.A	L-Proline	N.A.	3	N.A.	2	0.103100002
E7	scrambled_miRNA	L-Proline	ath827	3	2	2	0.104400001
E8	plant_miRNA	L-Proline	ath827	4	2	2	0.1043
E9	scrambled_miRNA	L-Proline	aof159	4	2	2	0.106299996
E10	scrambled_miRNA	L-Proline	ath158a3p	5	2	2	0.113700002
E11	scrambled_miRNA	L-Proline	ath5642b	5	2	2	0.116599999
F2	scrambled_miRNA	L-Proline	ath158a3p	1	2	2	0.105400003
F3	plant_miRNA	L-Proline	ath158b	1	2	2	0.103200004
F4	plant_miRNA	L-Proline	ath158a3p	2	2	2	0.100100003
F5	N.A	L-Proline	N.A.	2	N.A.	2	0.087200001
F6	scrambled_miRNA	L-Proline	ath158b	3	2	2	0.097000003
F7	plant_miRNA	L-Proline	aof159	3	2	2	0.093500003
F8	plant_miRNA	L-Proline	ath5642b	4	2	2	0.102399997
F9	N.A	L-Proline	N.A.	4	N.A.	2	0.078900002
F10	plant_miRNA	L-Proline	aof159	5	2	2	0.100900002
F11	plant_miRNA	L-Proline	ath827	5	2	2	0.104900002
G2	plant_miRNA	L-Proline	ath158a3p	1	2	2	0.091799997
G3	scrambled_miRNA	L-Proline	ath158b	1	2	2	0.089900002
G4	scrambled_miRNA	L-Proline	ath158a3p	2	2	2	0.088399999
G5	N.A	L-Proline	N.A.	2	N.A.	2	0.070900001
G6	plant_miRNA	L-Proline	ath158b	3	2	2	0.086800002
G7	scrambled_miRNA	L-Proline	aof159	3	2	2	0.094099998
G8	scrambled_miRNA	L-Proline	ath5642b	4	2	2	0.0889
G9	N.A	L-Proline	N.A.	4	N.A.	2	0.075099997
G10	scrambled_miRNA	L-Proline	aof159	5	2	2	0.087099999
G11	scrambled_miRNA	L-Proline	ath827	5	2	2	0.088
B2	plant_miRNA	L-Proline	ath827	1	2	3	0.106399998
B3	N.A	L-Proline	N.A.	1	N.A.	3	0.086999997
B4	scrambled_miRNA	L-Proline	aof159	2	2	3	0.108199999
B5	scrambled_miRNA	L-Proline	ath5642b	2	2	3	0.102700002
B6	scrambled_miRNA	L-Proline	ath158a3p	3	2	3	0.106899999
B7	plant_miRNA	L-Proline	ath5642b	3	2	3	0.104999997
B8	scrambled_miRNA	L-Proline	ath158b	4	2	3	0.101099998
B9	plant_miRNA	L-Proline	ath158a3p	4	2	3	0.104099996
B10	plant_miRNA	L-Proline	ath158b	5	2	3	0.104800001
B11	N.A	L-Proline	N.A.	5	N.A.	3	0.072899997
C2	scrambled_miRNA	L-Proline	ath827	1	2	3	0.0964
C3	N.A	L-Proline	N.A.	1	N.A.	3	0.074600004
C4	plant_miRNA	L-Proline	aof159	2	2	3	0.098300003
C5	plant_miRNA	L-Proline	ath5642b	2	2	3	0.095399998
C6	plant_miRNA	L-Proline	ath158a3p	3	2	3	0.098200001
C7	scrambled_miRNA	L-Proline	ath5642b	3	2	3	0.096699998
C8	plant_miRNA	L-Proline	ath158b	4	2	3	0.100100003
C9	scrambled_miRNA	L-Proline	ath158a3p	4	2	3	0.097800002
C10	scrambled_miRNA	L-Proline	ath158b	5	2	3	0.0999
C11	N.A	L-Proline	N.A.	5	N.A.	3	0.0735
D2	plant_miRNA	L-Proline	ath5642b	1	2	3	0.103200004
D3	plant_miRNA	L-Proline	aof159	1	2	3	0.101300001
D4	scrambled_miRNA	L-Proline	ath827	2	2	3	0.096600004
D5	scrambled_miRNA	L-Proline	ath158b	2	2	3	0.100900002
D6	N.A	L-Proline	N.A.	3	N.A.	3	0.075499997
D7	plant_miRNA	L-Proline	ath827	3	2	3	0.104000002
D8	scrambled_miRNA	L-Proline	ath827	4	2	3	0.097099997
D9	plant_miRNA	L-Proline	aof159	4	2	3	0.102499999
D10	plant_miRNA	L-Proline	ath158a3p	5	2	3	0.1021
D11	plant_miRNA	L-Proline	ath5642b	5	2	3	0.100900002
E2	scrambled_miRNA	L-Proline	ath5642b	1	2	3	0.109700002
E3	scrambled_miRNA	L-Proline	aof159	1	2	3	0.1096
E4	plant_miRNA	L-Proline	ath827	2	2	3	0.110100001
E5	plant_miRNA	L-Proline	ath158b	2	2	3	0.111100003
E6	N.A	L-Proline	N.A.	3	N.A.	3	0.094700001
E7	scrambled_miRNA	L-Proline	ath827	3	2	3	0.109300002
E8	plant_miRNA	L-Proline	ath827	4	2	3	0.109700002
E9	scrambled_miRNA	L-Proline	aof159	4	2	3	0.114500001
E10	scrambled_miRNA	L-Proline	ath158a3p	5	2	3	0.101499997
E11	scrambled_miRNA	L-Proline	ath5642b	5	2	3	0.109899998
F2	scrambled_miRNA	L-Proline	ath158a3p	1	2	3	0.101599999
F3	plant_miRNA	L-Proline	ath158b	1	2	3	0.106899999
F4	plant_miRNA	L-Proline	ath158a3p	2	2	3	0.105099998
F5	N.A	L-Proline	N.A.	2	N.A.	3	0.079899997
F6	scrambled_miRNA	L-Proline	ath158b	3	2	3	0.1008
F7	plant_miRNA	L-Proline	aof159	3	2	3	0.102600001
F8	plant_miRNA	L-Proline	ath5642b	4	2	3	0.102700002
F9	N.A	L-Proline	N.A.	4	N.A.	3	0.077699997
F10	plant_miRNA	L-Proline	aof159	5	2	3	0.109700002
F11	plant_miRNA	L-Proline	ath827	5	2	3	0.101899996
G2	plant_miRNA	L-Proline	ath158a3p	1	2	3	0.093999997
G3	scrambled_miRNA	L-Proline	ath158b	1	2	3	0.092500001
G4	scrambled_miRNA	L-Proline	ath158a3p	2	2	3	0.088600002
G5	N.A	L-Proline	N.A.	2	N.A.	3	0.075900003
G6	plant_miRNA	L-Proline	ath158b	3	2	3	0.085500002
G7	scrambled_miRNA	L-Proline	aof159	3	2	3	0.0942
G8	scrambled_miRNA	L-Proline	ath5642b	4	2	3	0.091799997
G9	N.A	L-Proline	N.A.	4	N.A.	3	0.077699997
G10	scrambled_miRNA	L-Proline	aof159	5	2	3	0.098399997
G11	scrambled_miRNA	L-Proline	ath827	5	2	3	0.095399998
B2	plant_miRNA	L-Proline	ath827	1	2	4	0.109300002
B3	N.A	L-Proline	N.A.	1	N.A.	4	0.087200001
B4	scrambled_miRNA	L-Proline	aof159	2	2	4	0.110200003
B5	scrambled_miRNA	L-Proline	ath5642b	2	2	4	0.105099998
B6	scrambled_miRNA	L-Proline	ath158a3p	3	2	4	0.111199997
B7	plant_miRNA	L-Proline	ath5642b	3	2	4	0.109499998
B8	scrambled_miRNA	L-Proline	ath158b	4	2	4	0.103799999
B9	plant_miRNA	L-Proline	ath158a3p	4	2	4	0.106299996
B10	plant_miRNA	L-Proline	ath158b	5	2	4	0.106299996
B11	N.A	L-Proline	N.A.	5	N.A.	4	0.075199999
C2	scrambled_miRNA	L-Proline	ath827	1	2	4	0.099699996
C3	N.A	L-Proline	N.A.	1	N.A.	4	0.074600004
C4	plant_miRNA	L-Proline	aof159	2	2	4	0.100400001
C5	plant_miRNA	L-Proline	ath5642b	2	2	4	0.095700003
C6	plant_miRNA	L-Proline	ath158a3p	3	2	4	0.102899998
C7	scrambled_miRNA	L-Proline	ath5642b	3	2	4	0.098899998
C8	plant_miRNA	L-Proline	ath158b	4	2	4	0.1052
C9	scrambled_miRNA	L-Proline	ath158a3p	4	2	4	0.100500003
C10	scrambled_miRNA	L-Proline	ath158b	5	2	4	0.102899998
C11	N.A	L-Proline	N.A.	5	N.A.	4	0.071999997
D2	plant_miRNA	L-Proline	ath5642b	1	2	4	0.106700003
D3	plant_miRNA	L-Proline	aof159	1	2	4	0.104800001
D4	scrambled_miRNA	L-Proline	ath827	2	2	4	0.098999999
D5	scrambled_miRNA	L-Proline	ath158b	2	2	4	0.100699998
D6	N.A	L-Proline	N.A.	3	N.A.	4	0.075199999
D7	plant_miRNA	L-Proline	ath827	3	2	4	0.101300001
D8	scrambled_miRNA	L-Proline	ath827	4	2	4	0.097999997
D9	plant_miRNA	L-Proline	aof159	4	2	4	0.105599999
D10	plant_miRNA	L-Proline	ath158a3p	5	2	4	0.105499998
D11	plant_miRNA	L-Proline	ath5642b	5	2	4	0.102200001
E2	scrambled_miRNA	L-Proline	ath5642b	1	2	4	0.111900002
E3	scrambled_miRNA	L-Proline	aof159	1	2	4	0.115199998
E4	plant_miRNA	L-Proline	ath827	2	2	4	0.108999997
E5	plant_miRNA	L-Proline	ath158b	2	2	4	0.113799997
E6	N.A	L-Proline	N.A.	3	N.A.	4	0.098399997
E7	scrambled_miRNA	L-Proline	ath827	3	2	4	0.112800002
E8	plant_miRNA	L-Proline	ath827	4	2	4	0.114600003
E9	scrambled_miRNA	L-Proline	aof159	4	2	4	0.1153
E10	scrambled_miRNA	L-Proline	ath158a3p	5	2	4	0.1074
E11	scrambled_miRNA	L-Proline	ath5642b	5	2	4	0.113300003
F2	scrambled_miRNA	L-Proline	ath158a3p	1	2	4	0.105700001
F3	plant_miRNA	L-Proline	ath158b	1	2	4	0.1105
F4	plant_miRNA	L-Proline	ath158a3p	2	2	4	0.1074
F5	N.A	L-Proline	N.A.	2	N.A.	4	0.082999997
F6	scrambled_miRNA	L-Proline	ath158b	3	2	4	0.103200004
F7	plant_miRNA	L-Proline	aof159	3	2	4	0.106200002
F8	plant_miRNA	L-Proline	ath5642b	4	2	4	0.106899999
F9	N.A	L-Proline	N.A.	4	N.A.	4	0.078199998
F10	plant_miRNA	L-Proline	aof159	5	2	4	0.112400003
F11	plant_miRNA	L-Proline	ath827	5	2	4	0.103299998
G2	plant_miRNA	L-Proline	ath158a3p	1	2	4	0.098399997
G3	scrambled_miRNA	L-Proline	ath158b	1	2	4	0.094300002
G4	scrambled_miRNA	L-Proline	ath158a3p	2	2	4	0.0933
G5	N.A	L-Proline	N.A.	2	N.A.	4	0.077399999
G6	plant_miRNA	L-Proline	ath158b	3	2	4	0.087099999
G7	scrambled_miRNA	L-Proline	aof159	3	2	4	0.094599999
G8	scrambled_miRNA	L-Proline	ath5642b	4	2	4	0.094700001
G9	N.A	L-Proline	N.A.	4	N.A.	4	0.077
G10	scrambled_miRNA	L-Proline	aof159	5	2	4	0.100500003
G11	scrambled_miRNA	L-Proline	ath827	5	2	4	0.096199997
B2	plant_miRNA	L-Proline	ath827	1	2	5	0.110200003
B3	N.A	L-Proline	N.A.	1	N.A.	5	0.086999997
B4	scrambled_miRNA	L-Proline	aof159	2	2	5	0.114
B5	scrambled_miRNA	L-Proline	ath5642b	2	2	5	0.107600003
B6	scrambled_miRNA	L-Proline	ath158a3p	3	2	5	0.114600003
B7	plant_miRNA	L-Proline	ath5642b	3	2	5	0.1127
B8	scrambled_miRNA	L-Proline	ath158b	4	2	5	0.107100002
B9	plant_miRNA	L-Proline	ath158a3p	4	2	5	0.108599998
B10	plant_miRNA	L-Proline	ath158b	5	2	5	0.108900003
B11	N.A	L-Proline	N.A.	5	N.A.	5	0.075099997
C2	scrambled_miRNA	L-Proline	ath827	1	2	5	0.101800002
C3	N.A	L-Proline	N.A.	1	N.A.	5	0.077200003
C4	plant_miRNA	L-Proline	aof159	2	2	5	0.102200001
C5	plant_miRNA	L-Proline	ath5642b	2	2	5	0.097599998
C6	plant_miRNA	L-Proline	ath158a3p	3	2	5	0.105700001
C7	scrambled_miRNA	L-Proline	ath5642b	3	2	5	0.101099998
C8	plant_miRNA	L-Proline	ath158b	4	2	5	0.108199999
C9	scrambled_miRNA	L-Proline	ath158a3p	4	2	5	0.102600001
C10	scrambled_miRNA	L-Proline	ath158b	5	2	5	0.105099998
C11	N.A	L-Proline	N.A.	5	N.A.	5	0.072899997
D2	plant_miRNA	L-Proline	ath5642b	1	2	5	0.112300001
D3	plant_miRNA	L-Proline	aof159	1	2	5	0.1061
D4	scrambled_miRNA	L-Proline	ath827	2	2	5	0.099799998
D5	scrambled_miRNA	L-Proline	ath158b	2	2	5	0.102300003
D6	N.A	L-Proline	N.A.	3	N.A.	5	0.075300001
D7	plant_miRNA	L-Proline	ath827	3	2	5	0.108900003
D8	scrambled_miRNA	L-Proline	ath827	4	2	5	0.100500003
D9	plant_miRNA	L-Proline	aof159	4	2	5	0.107299998
D10	plant_miRNA	L-Proline	ath158a3p	5	2	5	0.108599998
D11	plant_miRNA	L-Proline	ath5642b	5	2	5	0.104699999
E2	scrambled_miRNA	L-Proline	ath5642b	1	2	5	0.111100003
E3	scrambled_miRNA	L-Proline	aof159	1	2	5	0.120200001
E4	plant_miRNA	L-Proline	ath827	2	2	5	0.1109
E5	plant_miRNA	L-Proline	ath158b	2	2	5	0.1127
E6	N.A	L-Proline	N.A.	3	N.A.	5	0.100699998
E7	scrambled_miRNA	L-Proline	ath827	3	2	5	0.121200003
E8	plant_miRNA	L-Proline	ath827	4	2	5	0.113300003
E9	scrambled_miRNA	L-Proline	aof159	4	2	5	0.1149
E10	scrambled_miRNA	L-Proline	ath158a3p	5	2	5	0.110799998
E11	scrambled_miRNA	L-Proline	ath5642b	5	2	5	0.114200003
F2	scrambled_miRNA	L-Proline	ath158a3p	1	2	5	0.107000001
F3	plant_miRNA	L-Proline	ath158b	1	2	5	0.108499996
F4	plant_miRNA	L-Proline	ath158a3p	2	2	5	0.109399997
F5	N.A	L-Proline	N.A.	2	N.A.	5	0.080300003
F6	scrambled_miRNA	L-Proline	ath158b	3	2	5	0.104800001
F7	plant_miRNA	L-Proline	aof159	3	2	5	0.107299998
F8	plant_miRNA	L-Proline	ath5642b	4	2	5	0.106899999
F9	N.A	L-Proline	N.A.	4	N.A.	5	0.077500001
F10	plant_miRNA	L-Proline	aof159	5	2	5	0.110600002
F11	plant_miRNA	L-Proline	ath827	5	2	5	0.105300002
G2	plant_miRNA	L-Proline	ath158a3p	1	2	5	0.099100001
G3	scrambled_miRNA	L-Proline	ath158b	1	2	5	0.097099997
G4	scrambled_miRNA	L-Proline	ath158a3p	2	2	5	0.091399997
G5	N.A	L-Proline	N.A.	2	N.A.	5	0.077100001
G6	plant_miRNA	L-Proline	ath158b	3	2	5	0.089500003
G7	scrambled_miRNA	L-Proline	aof159	3	2	5	0.100400001
G8	scrambled_miRNA	L-Proline	ath5642b	4	2	5	0.097199999
G9	N.A	L-Proline	N.A.	4	N.A.	5	0.076800004
G10	scrambled_miRNA	L-Proline	aof159	5	2	5	0.103
G11	scrambled_miRNA	L-Proline	ath827	5	2	5	0.097099997
B2	plant_miRNA	L-Proline	ath827	1	2	6	0.111000001
B3	N.A	L-Proline	N.A.	1	N.A.	6	0.087300003
B4	scrambled_miRNA	L-Proline	aof159	2	2	6	0.115800001
B5	scrambled_miRNA	L-Proline	ath5642b	2	2	6	0.111699998
B6	scrambled_miRNA	L-Proline	ath158a3p	3	2	6	0.115999997
B7	plant_miRNA	L-Proline	ath5642b	3	2	6	0.114600003
B8	scrambled_miRNA	L-Proline	ath158b	4	2	6	0.109700002
B9	plant_miRNA	L-Proline	ath158a3p	4	2	6	0.115099996
B10	plant_miRNA	L-Proline	ath158b	5	2	6	0.110299997
B11	N.A	L-Proline	N.A.	5	N.A.	6	0.0757
C2	scrambled_miRNA	L-Proline	ath827	1	2	6	0.104400001
C3	N.A	L-Proline	N.A.	1	N.A.	6	0.076300003
C4	plant_miRNA	L-Proline	aof159	2	2	6	0.1043
C5	plant_miRNA	L-Proline	ath5642b	2	2	6	0.103
C6	plant_miRNA	L-Proline	ath158a3p	3	2	6	0.109399997
C7	scrambled_miRNA	L-Proline	ath5642b	3	2	6	0.104099996
C8	plant_miRNA	L-Proline	ath158b	4	2	6	0.108800001
C9	scrambled_miRNA	L-Proline	ath158a3p	4	2	6	0.105499998
C10	scrambled_miRNA	L-Proline	ath158b	5	2	6	0.106700003
C11	N.A	L-Proline	N.A.	5	N.A.	6	0.071999997
D2	plant_miRNA	L-Proline	ath5642b	1	2	6	0.1149
D3	plant_miRNA	L-Proline	aof159	1	2	6	0.1096
D4	scrambled_miRNA	L-Proline	ath827	2	2	6	0.106299996
D5	scrambled_miRNA	L-Proline	ath158b	2	2	6	0.104099996
D6	N.A	L-Proline	N.A.	3	N.A.	6	0.075199999
D7	plant_miRNA	L-Proline	ath827	3	2	6	0.108599998
D8	scrambled_miRNA	L-Proline	ath827	4	2	6	0.103600003
D9	plant_miRNA	L-Proline	aof159	4	2	6	0.111699998
D10	plant_miRNA	L-Proline	ath158a3p	5	2	6	0.111299999
D11	plant_miRNA	L-Proline	ath5642b	5	2	6	0.105899997
E2	scrambled_miRNA	L-Proline	ath5642b	1	2	6	0.1131
E3	scrambled_miRNA	L-Proline	aof159	1	2	6	0.118000001
E4	plant_miRNA	L-Proline	ath827	2	2	6	0.110799998
E5	plant_miRNA	L-Proline	ath158b	2	2	6	0.109899998
E6	N.A	L-Proline	N.A.	3	N.A.	6	0.100400001
E7	scrambled_miRNA	L-Proline	ath827	3	2	6	0.123499997
E8	plant_miRNA	L-Proline	ath827	4	2	6	0.114500001
E9	scrambled_miRNA	L-Proline	aof159	4	2	6	0.116700001
E10	scrambled_miRNA	L-Proline	ath158a3p	5	2	6	0.114799999
E11	scrambled_miRNA	L-Proline	ath5642b	5	2	6	0.116400003
