Well_ID	Pair	miRNA	Treatment	Time	OD600
B2	B	Ctl-2	NA	16	0.074000001
B3	B	Ctl-1	NA	16	0.082000002
B4	B	Mix5	Plant	16	0.158099994
B5	B	Mix5	Scramble	16	0.150600001
C2	B	ath-miR158b	Scramble	16	0.418599993
C3	B	ath-miR158b	Plant	16	0.378100008
C4	B	ath-miR827	Scramble	16	0.361000001
C5	B	ath-miR827	Plant	16	0.318800002
B2	B	Ctl-2	NA	32	0.0704
B3	B	Ctl-1	NA	32	0.0845
B4	B	Mix5	Plant	32	0.167899996
B5	B	Mix5	Scramble	32	0.165900007
C2	B	ath-miR158b	Scramble	32	0.345200002
C3	B	ath-miR158b	Plant	32	0.34709999
C4	B	ath-miR827	Scramble	32	0.331200004
C5	B	ath-miR827	Plant	32	0.274899989
B2	C	ath-miR827	Plant	0	0.214100003
B3	C	ath-miR827	Scramble	0	0.202500001
B4	C	ath-miR158b	Scramble	0	0.200299993
B5	C	ath-miR158b	Plant	0	0.185499996
C2	C	Ctl-1	NA	0	0.198500007
C3	C	Ctl-2	NA	0	0.140900001
C4	C	Mix5	Scramble	0	0.163000003
C5	C	Mix5	Plant	0	0.153899997
B2	C	ath-miR827	Plant	8	0.132499993
B3	C	ath-miR827	Scramble	8	0.134000003
B4	C	ath-miR158b	Scramble	8	0.134499997
B5	C	ath-miR158b	Plant	8	0.135499999
C2	C	Ctl-1	NA	8	0.26789999
C3	C	Ctl-2	NA	8	0.171700001
C4	C	Mix5	Scramble	8	0.322600007
C5	C	Mix5	Plant	8	0.313699991
B2	C	ath-miR827	Plant	16	0.149499997
B3	C	ath-miR827	Scramble	16	0.143399999
B4	C	ath-miR158b	Scramble	16	0.136399999
B5	C	ath-miR158b	Plant	16	0.143700004
C2	C	Ctl-1	NA	16	0.194900006
C3	C	Ctl-2	NA	16	0.203700006
C4	C	Mix5	Scramble	16	0.38350001
C5	C	Mix5	Plant	16	0.366899997
B2	C	ath-miR827	Plant	32	0.145199999
B3	C	ath-miR827	Scramble	32	0.153400004
B4	C	ath-miR158b	Scramble	32	0.164800003
B5	C	ath-miR158b	Plant	32	0.163900003
C2	C	Ctl-1	NA	32	0.1461
C3	C	Ctl-2	NA	32	0.142100006
C4	C	Mix5	Scramble	32	0.361200005
C5	C	Mix5	Plant	32	0.311100006
B2	D	Mix5	Plant	0	0.194199994
B3	D	Mix5	Scramble	0	0.193800002
B4	D	Ctl-1	NA	0	0.1708
B5	D	Ctl-2	NA	0	0.182799995
C2	D	ath-miR827	Scramble	0	0.227200001
C3	D	ath-miR827	Plant	0	0.179199994
C4	D	ath-miR158b	Scramble	0	0.190799996
C5	D	ath-miR158b	Plant	0	0.172499999
B2	D	Mix5	Plant	8	0.131500006
B3	D	Mix5	Scramble	8	0.128900006
B4	D	Ctl-1	NA	8	0.087399997
B5	D	Ctl-2	NA	8	0.096900001
C2	D	ath-miR827	Scramble	8	0.375400007
C3	D	ath-miR827	Plant	8	0.313800007
C4	D	ath-miR158b	Scramble	8	0.313300014
C5	D	ath-miR158b	Plant	8	0.301400006
B2	D	Mix5	Plant	16	0.151299998
B3	D	Mix5	Scramble	16	0.151899993
B4	D	Ctl-1	NA	16	0.0832
B5	D	Ctl-2	NA	16	0.089699998
C2	D	ath-miR827	Scramble	16	0.356299996
C3	D	ath-miR827	Plant	16	0.351900011
C4	D	ath-miR158b	Scramble	16	0.333499998
C5	D	ath-miR158b	Plant	16	0.313199997
B2	D	Mix5	Plant	32	0.153200001
B3	D	Mix5	Scramble	32	0.178200006
B4	D	Ctl-1	NA	32	0.087399997
B5	D	Ctl-2	NA	32	0.090700001
C2	D	ath-miR827	Scramble	32	0.311199993
C3	D	ath-miR827	Plant	32	0.323000014
C4	D	ath-miR158b	Scramble	32	0.297100008
C5	D	ath-miR158b	Plant	32	0.282499999
B2	E	ath-miR827	Scramble	0	0.202000007
B3	E	ath-miR827	Plant	0	0.193000004
B4	E	ath-miR158b	Plant	0	0.189099997
B5	E	ath-miR158b	Scramble	0	0.181799993
C2	E	Mix5	Scramble	0	0.252099991
C3	E	Mix5	Plant	0	0.167300001
C4	E	Ctl-2	NA	0	0.168799996
C5	E	Ctl-1	NA	0	0.161500007
B2	E	ath-miR827	Scramble	8	0.125300005
B3	E	ath-miR827	Plant	8	0.127200007
B4	E	ath-miR158b	Plant	8	0.129999995
B5	E	ath-miR158b	Scramble	8	0.139500007
C2	E	Mix5	Scramble	8	0.405200005
C3	E	Mix5	Plant	8	0.360500008
C4	E	Ctl-2	NA	8	0.205799997
C5	E	Ctl-1	NA	8	0.1919
B2	E	ath-miR827	Scramble	16	0.158399999
B3	E	ath-miR827	Plant	16	0.150000006
B4	E	ath-miR158b	Plant	16	0.155699998
B5	E	ath-miR158b	Scramble	16	0.150900006
C2	E	Mix5	Scramble	16	0.4384
C3	E	Mix5	Plant	16	0.390199989
C4	E	Ctl-2	NA	16	0.198599994
C5	E	Ctl-1	NA	16	0.186399996
B2	E	ath-miR827	Scramble	32	0.167600006
B3	E	ath-miR827	Plant	32	0.166800007
B4	E	ath-miR158b	Plant	32	0.171399996
B5	E	ath-miR158b	Scramble	32	0.182600006
C2	E	Mix5	Scramble	32	0.39199999
C3	E	Mix5	Plant	32	0.386500001
C4	E	Ctl-2	NA	32	0.131600007
C5	E	Ctl-1	NA	32	0.104699999
