Well_ID	Treatment	N_Source	miRNA	Pair	Plate	Time	OD540
F10	std	250	NA	NA	2	NA	0.324800014
G10	std	500	NA	NA	2	NA	0.432599992
A1	plant	Mix_AA	ath-mir158b	D	3	0	0.363700002
A2	scramble	Mix_AA	ath-mir158b	D	3	0	0.353500009
A3	plant	Mix_AA	mix5miR	D	3	0	0.339399993
A4	scramble	Mix_AA	mix5miR	D	3	0	0.280600011
A5	plant	Mix_AA	ath-miR5642b	D	3	0	0.229800001
A6	scramble	Mix_AA	ath-miR5642b	D	3	0	0.303200006
A7	control	Mix_AA	control	D	3	0	0.372099996
A8	control	Mix_AA	control	D	3	0	0.392100006
B1	plant	Mix_AA	ath-mir158b	D	3	6	0.291700006
B2	scramble	Mix_AA	ath-mir158b	D	3	6	0.278299987
B3	plant	Mix_AA	mix5miR	D	3	6	0.249699995
B4	scramble	Mix_AA	mix5miR	D	3	6	0.255499989
B5	plant	Mix_AA	ath-miR5642b	D	3	6	0.273000002
B6	scramble	Mix_AA	ath-miR5642b	D	3	6	0.282900006
B7	control	Mix_AA	control	D	3	6	0.299899995
B8	control	Mix_AA	control	D	3	6	0.296099991
C1	plant	Mix_AA	ath-mir158b	D	3	10	0.278800011
C2	scramble	Mix_AA	ath-mir158b	D	3	10	0.263000011
C3	plant	Mix_AA	mix5miR	D	3	10	0.233500004
C4	scramble	Mix_AA	mix5miR	D	3	10	0.219500005
C5	plant	Mix_AA	ath-miR5642b	D	3	10	0.2491
C6	scramble	Mix_AA	ath-miR5642b	D	3	10	0.2403
C7	control	Mix_AA	control	D	3	10	0.291700006
C8	control	Mix_AA	control	D	3	10	0.335099995
D1	plant	Mix_AA	ath-mir158b	D	3	28	0.150299996
D2	scramble	Mix_AA	ath-mir158b	D	3	28	0.158700004
D3	plant	Mix_AA	mix5miR	D	3	28	0.152700007
D4	scramble	Mix_AA	mix5miR	D	3	28	0.151999995
D5	plant	Mix_AA	ath-miR5642b	D	3	28	0.138600007
D6	scramble	Mix_AA	ath-miR5642b	D	3	28	0.159400001
D7	control	Mix_AA	control	D	3	28	0.350600004
D8	control	Mix_AA	control	D	3	28	0.352999985
E1	plant	Mix_AA	ath-mir158b	E	3	0	0.363400012
E2	scramble	Mix_AA	ath-mir158b	E	3	0	0.349999994
E3	plant	Mix_AA	mix5miR	E	3	0	0.326000005
E4	scramble	Mix_AA	mix5miR	E	3	0	0.309399992
E5	plant	Mix_AA	ath-miR5642b	E	3	0	0.353599995
E6	scramble	Mix_AA	ath-miR5642b	E	3	0	0.357800007
E7	control	Mix_AA	control	E	3	0	0.398600012
E8	control	Mix_AA	control	E	3	0	0.398400009
F1	plant	Mix_AA	ath-mir158b	E	3	6	0.257800013
F2	scramble	Mix_AA	ath-mir158b	E	3	6	0.264499992
F3	plant	Mix_AA	mix5miR	E	3	6	0.244900003
F4	scramble	Mix_AA	mix5miR	E	3	6	0.243399993
F5	plant	Mix_AA	ath-miR5642b	E	3	6	0.291000009
F6	scramble	Mix_AA	ath-miR5642b	E	3	6	0.276800007
F7	control	Mix_AA	control	E	3	6	0.293500006
F8	control	Mix_AA	control	E	3	6	0.32980001
G1	plant	Mix_AA	ath-mir158b	E	3	10	0.238199994
G2	scramble	Mix_AA	ath-mir158b	E	3	10	0.235100001
G3	plant	Mix_AA	mix5miR	E	3	10	0.216700003
G4	scramble	Mix_AA	mix5miR	E	3	10	0.220200002
G5	plant	Mix_AA	ath-miR5642b	E	3	10	0.241899997
G6	scramble	Mix_AA	ath-miR5642b	E	3	10	0.240400001
G7	control	Mix_AA	control	E	3	10	0.308600008
G8	control	Mix_AA	control	E	3	10	0.296299994
H1	plant	Mix_AA	ath-mir158b	E	3	28	0.147200003
H2	scramble	Mix_AA	ath-mir158b	E	3	28	0.145199999
H3	plant	Mix_AA	mix5miR	E	3	28	0.1215
H4	scramble	Mix_AA	mix5miR	E	3	28	0.131300002
H5	plant	Mix_AA	ath-miR5642b	E	3	28	0.153699994
H6	scramble	Mix_AA	ath-miR5642b	E	3	28	0.144899994
H7	control	Mix_AA	control	E	3	28	0.364300013
H8	control	Mix_AA	control	E	3	28	0.342500001
A9	std	500	NA	NA	3	NA	0.449699998
B9	std	250	NA	NA	3	NA	0.355300009
C9	std	125	NA	NA	3	NA	0.223800004
D9	std	62.5	NA	NA	3	NA	0.144700006
E9	std	31.25	NA	NA	3	NA	0.118299998
F9	std	15.625	NA	NA	3	NA	0.094499998
G9	std	0	NA	NA	3	NA	0.078599997
A10	std	0	NA	NA	3	NA	0.080899999
B10	std	15.625	NA	NA	3	NA	0.103100002
C10	std	31.25	NA	NA	3	NA	0.1193
D10	std	62.5	NA	NA	3	NA	0.150700003
E10	std	125	NA	NA	3	NA	0.228300005
F10	std	250	NA	NA	3	NA	0.363799989
G10	std	500	NA	NA	3	NA	0.438800007
