Well_ID	Treatment	N_Source	miRNA	Pair	Plate	Time	OD540
B2	scramble	Mix_AA	ath-mir158b	A	2	6	0.273400009
B3	plant	Mix_AA	mix5miR	A	2	6	0.263599992
B4	scramble	Mix_AA	mix5miR	A	2	6	0.2588
B5	plant	Mix_AA	ath-miR5642b	A	2	6	0.268700004
B6	scramble	Mix_AA	ath-miR5642b	A	2	6	0.264499992
B7	control	Mix_AA	control	A	2	6	0.287800014
B8	control	Mix_AA	control	A	2	6	0.300999999
C1	plant	Mix_AA	ath-mir158b	A	2	10	0.207100004
C2	scramble	Mix_AA	ath-mir158b	A	2	10	0.2236
C3	plant	Mix_AA	mix5miR	A	2	10	0.194100007
C4	scramble	Mix_AA	mix5miR	A	2	10	0.193700001
C5	plant	Mix_AA	ath-miR5642b	A	2	10	0.214000002
C6	scramble	Mix_AA	ath-miR5642b	A	2	10	0.214699998
C7	control	Mix_AA	control	A	2	10	0.26879999
C8	control	Mix_AA	control	A	2	10	0.264099985
D1	plant	Mix_AA	ath-mir158b	A	2	28	0.108099997
D2	scramble	Mix_AA	ath-mir158b	A	2	28	0.116400003
D3	plant	Mix_AA	mix5miR	A	2	28	0.099299997
D4	scramble	Mix_AA	mix5miR	A	2	28	0.110699996
D5	plant	Mix_AA	ath-miR5642b	A	2	28	0.109200001
D6	scramble	Mix_AA	ath-miR5642b	A	2	28	0.120099999
D7	control	Mix_AA	control	A	2	28	0.418199986
D8	control	Mix_AA	control	A	2	28	0.4296
E1	plant	Mix_AA	ath-mir158b	B	2	0	0.256399989
E2	scramble	Mix_AA	ath-mir158b	B	2	0	0.26879999
E3	plant	Mix_AA	mix5miR	B	2	0	0.238600001
E4	scramble	Mix_AA	mix5miR	B	2	0	0.266299993
E5	plant	Mix_AA	ath-miR5642b	B	2	0	0.278699994
E6	scramble	Mix_AA	ath-miR5642b	B	2	0	0.282599986
E7	control	Mix_AA	control	B	2	0	0.280099988
E8	control	Mix_AA	control	B	2	0	0.271400005
F1	plant	Mix_AA	ath-mir158b	B	2	6	0.248999998
F2	scramble	Mix_AA	ath-mir158b	B	2	6	0.236200005
F3	plant	Mix_AA	mix5miR	B	2	6	0.229900002
F4	scramble	Mix_AA	mix5miR	B	2	6	0.235100001
F5	plant	Mix_AA	ath-miR5642b	B	2	6	0.264899999
F6	scramble	Mix_AA	ath-miR5642b	B	2	6	0.262899995
F7	control	Mix_AA	control	B	2	6	0.302599996
F8	control	Mix_AA	control	B	2	6	0.309100002
G1	plant	Mix_AA	ath-mir158b	B	2	10	0.244299993
G2	scramble	Mix_AA	ath-mir158b	B	2	10	0.236300007
G3	plant	Mix_AA	mix5miR	B	2	10	0.196099997
G4	scramble	Mix_AA	mix5miR	B	2	10	0.202099994
G5	plant	Mix_AA	ath-miR5642b	B	2	10	0.240799993
G6	scramble	Mix_AA	ath-miR5642b	B	2	10	0.229200006
G7	control	Mix_AA	control	B	2	10	0.291900009
G8	control	Mix_AA	control	B	2	10	0.328999996
H1	plant	Mix_AA	ath-mir158b	B	2	28	0.124399997
H2	scramble	Mix_AA	ath-mir158b	B	2	28	0.118100002
H3	plant	Mix_AA	mix5miR	B	2	28	0.106899999
H4	scramble	Mix_AA	mix5miR	B	2	28	0.104999997
H5	plant	Mix_AA	ath-miR5642b	B	2	28	0.124700002
H6	scramble	Mix_AA	ath-miR5642b	B	2	28	0.131899998
H7	control	Mix_AA	control	B	2	28	0.320499986
H8	control	Mix_AA	control	B	2	28	0.313699991
A9	std	500	NA	NA	2	NA	0.531000018
B9	std	250	NA	NA	2	NA	0.371399999
C9	std	125	NA	NA	2	NA	0.231999993
D9	std	62.5	NA	NA	2	NA	0.155300006
E9	std	31.25	NA	NA	2	NA	0.140300006
F9	std	15.625	NA	NA	2	NA	0.1206
G9	std	0	NA	NA	2	NA	0.117399998
