Well_ID,Replicate,ASV,N_source,miRNA,Treatment,Dose(uM),Time,OD_600
B3,A,4,Mix_17aa,ath-miR5642b,Scramble,2,12,2.281
B3,A,4,Mix_17aa,ath-miR5642b,Scramble,2,13,2.3
B3,A,4,Mix_17aa,ath-miR5642b,Scramble,2,14,2.311
B3,A,4,Mix_17aa,ath-miR5642b,Scramble,2,15,2.314
B3,A,4,Mix_17aa,ath-miR5642b,Scramble,2,16,2.31
B3,A,4,Mix_17aa,ath-miR5642b,Scramble,2,17,2.31
B3,A,4,Mix_17aa,ath-miR5642b,Scramble,2,18,2.307
B3,A,4,Mix_17aa,ath-miR5642b,Scramble,2,19,2.307
B3,A,4,Mix_17aa,ath-miR5642b,Scramble,2,20,2.306
B3,A,4,Mix_17aa,ath-miR5642b,Scramble,2,21,2.31
B3,A,4,Mix_17aa,ath-miR5642b,Scramble,2,22,2.325
B3,A,4,Mix_17aa,ath-miR5642b,Scramble,2,23,2.323
B3,A,4,Mix_17aa,ath-miR5642b,Scramble,2,24,2.325
B3,A,4,Mix_17aa,ath-miR5642b,Scramble,2,25,2.329
B3,A,4,Mix_17aa,ath-miR5642b,Scramble,2,26,2.326
B3,A,4,Mix_17aa,ath-miR5642b,Scramble,2,27,2.323
B3,A,4,Mix_17aa,ath-miR5642b,Scramble,2,28,2.328
B3,A,4,Mix_17aa,ath-miR5642b,Scramble,2,29,2.321
B3,A,4,Mix_17aa,ath-miR5642b,Scramble,2,30,2.322
B3,A,4,Mix_17aa,ath-miR5642b,Scramble,2,31,2.321
B3,A,4,Mix_17aa,ath-miR5642b,Scramble,2,32,2.311
B3,A,4,Mix_17aa,ath-miR5642b,Scramble,2,33,2.313
B3,A,4,Mix_17aa,ath-miR5642b,Scramble,2,34,2.301
B3,A,4,Mix_17aa,ath-miR5642b,Scramble,2,35,2.3
B3,A,4,Mix_17aa,ath-miR5642b,Scramble,2,36,2.297
B3,A,4,Mix_17aa,ath-miR5642b,Scramble,2,37,2.298
B3,A,4,Mix_17aa,ath-miR5642b,Scramble,2,38,2.29
B3,A,4,Mix_17aa,ath-miR5642b,Scramble,2,39,2.29
B3,A,4,Mix_17aa,ath-miR5642b,Scramble,2,40,2.287
B3,A,4,Mix_17aa,ath-miR5642b,Scramble,2,41,2.286
B3,A,4,Mix_17aa,ath-miR5642b,Scramble,2,42,2.286
B3,A,4,Mix_17aa,ath-miR5642b,Scramble,2,43,2.282
B3,A,4,Mix_17aa,ath-miR5642b,Scramble,2,44,2.281
B3,A,4,Mix_17aa,ath-miR5642b,Scramble,2,45,2.284
B3,A,4,Mix_17aa,ath-miR5642b,Scramble,2,46,2.282
B3,A,4,Mix_17aa,ath-miR5642b,Scramble,2,47,2.281
B3,A,4,Mix_17aa,ath-miR5642b,Scramble,2,48,2.278
B3,A,4,Mix_17aa,ath-miR5642b,Scramble,2,49,2.281
B3,A,4,Mix_17aa,ath-miR5642b,Scramble,2,50,2.278
B3,A,4,Mix_17aa,ath-miR5642b,Scramble,2,51,2.277
B3,A,4,Mix_17aa,ath-miR5642b,Scramble,2,52,2.277
B4,A,4,Mix_17aa,ath-miR158a3p,Scramble,2,0,0.149
B4,A,4,Mix_17aa,ath-miR158a3p,Scramble,2,1,0.21
B4,A,4,Mix_17aa,ath-miR158a3p,Scramble,2,2,0.361
B4,A,4,Mix_17aa,ath-miR158a3p,Scramble,2,3,0.533
B4,A,4,Mix_17aa,ath-miR158a3p,Scramble,2,4,0.858
B4,A,4,Mix_17aa,ath-miR158a3p,Scramble,2,5,1.445
B4,A,4,Mix_17aa,ath-miR158a3p,Scramble,2,6,1.801
B4,A,4,Mix_17aa,ath-miR158a3p,Scramble,2,7,1.975
B4,A,4,Mix_17aa,ath-miR158a3p,Scramble,2,8,2.067
B4,A,4,Mix_17aa,ath-miR158a3p,Scramble,2,9,2.135
B4,A,4,Mix_17aa,ath-miR158a3p,Scramble,2,10,2.189
B4,A,4,Mix_17aa,ath-miR158a3p,Scramble,2,11,2.217
B4,A,4,Mix_17aa,ath-miR158a3p,Scramble,2,12,2.226
B4,A,4,Mix_17aa,ath-miR158a3p,Scramble,2,13,2.233
B4,A,4,Mix_17aa,ath-miR158a3p,Scramble,2,14,2.229
B4,A,4,Mix_17aa,ath-miR158a3p,Scramble,2,15,2.229
B4,A,4,Mix_17aa,ath-miR158a3p,Scramble,2,16,2.225
B4,A,4,Mix_17aa,ath-miR158a3p,Scramble,2,17,2.231
B4,A,4,Mix_17aa,ath-miR158a3p,Scramble,2,18,2.23
B4,A,4,Mix_17aa,ath-miR158a3p,Scramble,2,19,2.232
B4,A,4,Mix_17aa,ath-miR158a3p,Scramble,2,20,2.236
B4,A,4,Mix_17aa,ath-miR158a3p,Scramble,2,21,2.235
B4,A,4,Mix_17aa,ath-miR158a3p,Scramble,2,22,2.242
B4,A,4,Mix_17aa,ath-miR158a3p,Scramble,2,23,2.246
B4,A,4,Mix_17aa,ath-miR158a3p,Scramble,2,24,2.251
B4,A,4,Mix_17aa,ath-miR158a3p,Scramble,2,25,2.252
B4,A,4,Mix_17aa,ath-miR158a3p,Scramble,2,26,2.246
B4,A,4,Mix_17aa,ath-miR158a3p,Scramble,2,27,2.24
B4,A,4,Mix_17aa,ath-miR158a3p,Scramble,2,28,2.243
B4,A,4,Mix_17aa,ath-miR158a3p,Scramble,2,29,2.235
B4,A,4,Mix_17aa,ath-miR158a3p,Scramble,2,30,2.235
B4,A,4,Mix_17aa,ath-miR158a3p,Scramble,2,31,2.231
B4,A,4,Mix_17aa,ath-miR158a3p,Scramble,2,32,2.229
B4,A,4,Mix_17aa,ath-miR158a3p,Scramble,2,33,2.225
B4,A,4,Mix_17aa,ath-miR158a3p,Scramble,2,34,2.214
B4,A,4,Mix_17aa,ath-miR158a3p,Scramble,2,35,2.215
B4,A,4,Mix_17aa,ath-miR158a3p,Scramble,2,36,2.213
B4,A,4,Mix_17aa,ath-miR158a3p,Scramble,2,37,2.21
B4,A,4,Mix_17aa,ath-miR158a3p,Scramble,2,38,2.205
B4,A,4,Mix_17aa,ath-miR158a3p,Scramble,2,39,2.204
B4,A,4,Mix_17aa,ath-miR158a3p,Scramble,2,40,2.207
B4,A,4,Mix_17aa,ath-miR158a3p,Scramble,2,41,2.209
B4,A,4,Mix_17aa,ath-miR158a3p,Scramble,2,42,2.209
B4,A,4,Mix_17aa,ath-miR158a3p,Scramble,2,43,2.2
B4,A,4,Mix_17aa,ath-miR158a3p,Scramble,2,44,2.205
B4,A,4,Mix_17aa,ath-miR158a3p,Scramble,2,45,2.213
B4,A,4,Mix_17aa,ath-miR158a3p,Scramble,2,46,2.214
B4,A,4,Mix_17aa,ath-miR158a3p,Scramble,2,47,2.202
B4,A,4,Mix_17aa,ath-miR158a3p,Scramble,2,48,2.205
B4,A,4,Mix_17aa,ath-miR158a3p,Scramble,2,49,2.215
B4,A,4,Mix_17aa,ath-miR158a3p,Scramble,2,50,2.213
B4,A,4,Mix_17aa,ath-miR158a3p,Scramble,2,51,2.204
B4,A,4,Mix_17aa,ath-miR158a3p,Scramble,2,52,2.209
B5,A,4,Mix_17aa,ath-miR158a3p,Plant,2,0,0.147
B5,A,4,Mix_17aa,ath-miR158a3p,Plant,2,1,0.211
B5,A,4,Mix_17aa,ath-miR158a3p,Plant,2,2,0.36
B5,A,4,Mix_17aa,ath-miR158a3p,Plant,2,3,0.563
B5,A,4,Mix_17aa,ath-miR158a3p,Plant,2,4,0.861
B5,A,4,Mix_17aa,ath-miR158a3p,Plant,2,5,1.447
B5,A,4,Mix_17aa,ath-miR158a3p,Plant,2,6,1.839
B5,A,4,Mix_17aa,ath-miR158a3p,Plant,2,7,1.998
B5,A,4,Mix_17aa,ath-miR158a3p,Plant,2,8,2.089
B5,A,4,Mix_17aa,ath-miR158a3p,Plant,2,9,2.161
B5,A,4,Mix_17aa,ath-miR158a3p,Plant,2,10,2.208
B5,A,4,Mix_17aa,ath-miR158a3p,Plant,2,11,2.231
B5,A,4,Mix_17aa,ath-miR158a3p,Plant,2,12,2.252
B5,A,4,Mix_17aa,ath-miR158a3p,Plant,2,13,2.266
B5,A,4,Mix_17aa,ath-miR158a3p,Plant,2,14,2.271
B5,A,4,Mix_17aa,ath-miR158a3p,Plant,2,15,2.275
B5,A,4,Mix_17aa,ath-miR158a3p,Plant,2,16,2.278
B5,A,4,Mix_17aa,ath-miR158a3p,Plant,2,17,2.278
B5,A,4,Mix_17aa,ath-miR158a3p,Plant,2,18,2.275
B5,A,4,Mix_17aa,ath-miR158a3p,Plant,2,19,2.274
B5,A,4,Mix_17aa,ath-miR158a3p,Plant,2,20,2.269
B5,A,4,Mix_17aa,ath-miR158a3p,Plant,2,21,2.264
B5,A,4,Mix_17aa,ath-miR158a3p,Plant,2,22,2.267
B5,A,4,Mix_17aa,ath-miR158a3p,Plant,2,23,2.267
B5,A,4,Mix_17aa,ath-miR158a3p,Plant,2,24,2.272
B5,A,4,Mix_17aa,ath-miR158a3p,Plant,2,25,2.268
B5,A,4,Mix_17aa,ath-miR158a3p,Plant,2,26,2.267
B5,A,4,Mix_17aa,ath-miR158a3p,Plant,2,27,2.267
B5,A,4,Mix_17aa,ath-miR158a3p,Plant,2,28,2.264
B5,A,4,Mix_17aa,ath-miR158a3p,Plant,2,29,2.259
B5,A,4,Mix_17aa,ath-miR158a3p,Plant,2,30,2.261
B5,A,4,Mix_17aa,ath-miR158a3p,Plant,2,31,2.259
B5,A,4,Mix_17aa,ath-miR158a3p,Plant,2,32,2.258
B5,A,4,Mix_17aa,ath-miR158a3p,Plant,2,33,2.243
B5,A,4,Mix_17aa,ath-miR158a3p,Plant,2,34,2.246
B5,A,4,Mix_17aa,ath-miR158a3p,Plant,2,35,2.242
B5,A,4,Mix_17aa,ath-miR158a3p,Plant,2,36,2.237
B5,A,4,Mix_17aa,ath-miR158a3p,Plant,2,37,2.232
B5,A,4,Mix_17aa,ath-miR158a3p,Plant,2,38,2.231
B5,A,4,Mix_17aa,ath-miR158a3p,Plant,2,39,2.23
B5,A,4,Mix_17aa,ath-miR158a3p,Plant,2,40,2.228
B5,A,4,Mix_17aa,ath-miR158a3p,Plant,2,41,2.229
B5,A,4,Mix_17aa,ath-miR158a3p,Plant,2,42,2.226
B5,A,4,Mix_17aa,ath-miR158a3p,Plant,2,43,2.222
B5,A,4,Mix_17aa,ath-miR158a3p,Plant,2,44,2.22
B5,A,4,Mix_17aa,ath-miR158a3p,Plant,2,45,2.222
B5,A,4,Mix_17aa,ath-miR158a3p,Plant,2,46,2.224
B5,A,4,Mix_17aa,ath-miR158a3p,Plant,2,47,2.226
B5,A,4,Mix_17aa,ath-miR158a3p,Plant,2,48,2.212
B5,A,4,Mix_17aa,ath-miR158a3p,Plant,2,49,2.215
B5,A,4,Mix_17aa,ath-miR158a3p,Plant,2,50,2.218
B5,A,4,Mix_17aa,ath-miR158a3p,Plant,2,51,2.215
B5,A,4,Mix_17aa,ath-miR158a3p,Plant,2,52,2.216
C1,A,4,Mix_17aa,ath-miR159,Scramble,2,0,0.155
C1,A,4,Mix_17aa,ath-miR159,Scramble,2,1,0.222
C1,A,4,Mix_17aa,ath-miR159,Scramble,2,2,0.385
C1,A,4,Mix_17aa,ath-miR159,Scramble,2,3,0.571
C1,A,4,Mix_17aa,ath-miR159,Scramble,2,4,0.903
C1,A,4,Mix_17aa,ath-miR159,Scramble,2,5,1.46
C1,A,4,Mix_17aa,ath-miR159,Scramble,2,6,1.806
C1,A,4,Mix_17aa,ath-miR159,Scramble,2,7,2.003
C1,A,4,Mix_17aa,ath-miR159,Scramble,2,8,2.106
C1,A,4,Mix_17aa,ath-miR159,Scramble,2,9,2.175
C1,A,4,Mix_17aa,ath-miR159,Scramble,2,10,2.232
C1,A,4,Mix_17aa,ath-miR159,Scramble,2,11,2.268
C1,A,4,Mix_17aa,ath-miR159,Scramble,2,12,2.29
C1,A,4,Mix_17aa,ath-miR159,Scramble,2,13,2.297
C1,A,4,Mix_17aa,ath-miR159,Scramble,2,14,2.294
C1,A,4,Mix_17aa,ath-miR159,Scramble,2,15,2.3
C1,A,4,Mix_17aa,ath-miR159,Scramble,2,16,2.3
C1,A,4,Mix_17aa,ath-miR159,Scramble,2,17,2.31
C1,A,4,Mix_17aa,ath-miR159,Scramble,2,18,2.295
C1,A,4,Mix_17aa,ath-miR159,Scramble,2,19,2.304
C1,A,4,Mix_17aa,ath-miR159,Scramble,2,20,2.306
C1,A,4,Mix_17aa,ath-miR159,Scramble,2,21,2.297
C1,A,4,Mix_17aa,ath-miR159,Scramble,2,22,2.319
C1,A,4,Mix_17aa,ath-miR159,Scramble,2,23,2.31
C1,A,4,Mix_17aa,ath-miR159,Scramble,2,24,2.318
C1,A,4,Mix_17aa,ath-miR159,Scramble,2,25,2.318
C1,A,4,Mix_17aa,ath-miR159,Scramble,2,26,2.308
C1,A,4,Mix_17aa,ath-miR159,Scramble,2,27,2.313
C1,A,4,Mix_17aa,ath-miR159,Scramble,2,28,2.305
C1,A,4,Mix_17aa,ath-miR159,Scramble,2,29,2.299
C1,A,4,Mix_17aa,ath-miR159,Scramble,2,30,2.309
C1,A,4,Mix_17aa,ath-miR159,Scramble,2,31,2.296
C1,A,4,Mix_17aa,ath-miR159,Scramble,2,32,2.295
C1,A,4,Mix_17aa,ath-miR159,Scramble,2,33,2.289
C1,A,4,Mix_17aa,ath-miR159,Scramble,2,34,2.289
C1,A,4,Mix_17aa,ath-miR159,Scramble,2,35,2.285
C1,A,4,Mix_17aa,ath-miR159,Scramble,2,36,2.286
C1,A,4,Mix_17aa,ath-miR159,Scramble,2,37,2.284
C1,A,4,Mix_17aa,ath-miR159,Scramble,2,38,2.283
C1,A,4,Mix_17aa,ath-miR159,Scramble,2,39,2.279
C1,A,4,Mix_17aa,ath-miR159,Scramble,2,40,2.277
C1,A,4,Mix_17aa,ath-miR159,Scramble,2,41,2.272
C1,A,4,Mix_17aa,ath-miR159,Scramble,2,42,2.279
C1,A,4,Mix_17aa,ath-miR159,Scramble,2,43,2.275
C1,A,4,Mix_17aa,ath-miR159,Scramble,2,44,2.275
C1,A,4,Mix_17aa,ath-miR159,Scramble,2,45,2.282
C1,A,4,Mix_17aa,ath-miR159,Scramble,2,46,2.277
C1,A,4,Mix_17aa,ath-miR159,Scramble,2,47,2.281
C1,A,4,Mix_17aa,ath-miR159,Scramble,2,48,2.279
C1,A,4,Mix_17aa,ath-miR159,Scramble,2,49,2.279
C1,A,4,Mix_17aa,ath-miR159,Scramble,2,50,2.278
C1,A,4,Mix_17aa,ath-miR159,Scramble,2,51,2.279
C1,A,4,Mix_17aa,ath-miR159,Scramble,2,52,2.278
C2,A,4,Mix_17aa,ath-miR159,Plant,2,0,0.154
C2,A,4,Mix_17aa,ath-miR159,Plant,2,1,0.214
C2,A,4,Mix_17aa,ath-miR159,Plant,2,2,0.365
C2,A,4,Mix_17aa,ath-miR159,Plant,2,3,0.548
C2,A,4,Mix_17aa,ath-miR159,Plant,2,4,0.89
C2,A,4,Mix_17aa,ath-miR159,Plant,2,5,1.468
C2,A,4,Mix_17aa,ath-miR159,Plant,2,6,1.87
C2,A,4,Mix_17aa,ath-miR159,Plant,2,7,2.031
C2,A,4,Mix_17aa,ath-miR159,Plant,2,8,2.108
C2,A,4,Mix_17aa,ath-miR159,Plant,2,9,2.183
C2,A,4,Mix_17aa,ath-miR159,Plant,2,10,2.234
C2,A,4,Mix_17aa,ath-miR159,Plant,2,11,2.273
C2,A,4,Mix_17aa,ath-miR159,Plant,2,12,2.3
C2,A,4,Mix_17aa,ath-miR159,Plant,2,13,2.3
C2,A,4,Mix_17aa,ath-miR159,Plant,2,14,2.311
C2,A,4,Mix_17aa,ath-miR159,Plant,2,15,2.316
C2,A,4,Mix_17aa,ath-miR159,Plant,2,16,2.32
C2,A,4,Mix_17aa,ath-miR159,Plant,2,17,2.329
C2,A,4,Mix_17aa,ath-miR159,Plant,2,18,2.325
C2,A,4,Mix_17aa,ath-miR159,Plant,2,19,2.327
C2,A,4,Mix_17aa,ath-miR159,Plant,2,20,2.333
C2,A,4,Mix_17aa,ath-miR159,Plant,2,21,2.34
C2,A,4,Mix_17aa,ath-miR159,Plant,2,22,2.347
C2,A,4,Mix_17aa,ath-miR159,Plant,2,23,2.348
C2,A,4,Mix_17aa,ath-miR159,Plant,2,24,2.35
C2,A,4,Mix_17aa,ath-miR159,Plant,2,25,2.349
C2,A,4,Mix_17aa,ath-miR159,Plant,2,26,2.346
C2,A,4,Mix_17aa,ath-miR159,Plant,2,27,2.344
C2,A,4,Mix_17aa,ath-miR159,Plant,2,28,2.343
C2,A,4,Mix_17aa,ath-miR159,Plant,2,29,2.341
C2,A,4,Mix_17aa,ath-miR159,Plant,2,30,2.336
C2,A,4,Mix_17aa,ath-miR159,Plant,2,31,2.332
C2,A,4,Mix_17aa,ath-miR159,Plant,2,32,2.33
C2,A,4,Mix_17aa,ath-miR159,Plant,2,33,2.327
C2,A,4,Mix_17aa,ath-miR159,Plant,2,34,2.324
C2,A,4,Mix_17aa,ath-miR159,Plant,2,35,2.316
C2,A,4,Mix_17aa,ath-miR159,Plant,2,36,2.317
C2,A,4,Mix_17aa,ath-miR159,Plant,2,37,2.306
C2,A,4,Mix_17aa,ath-miR159,Plant,2,38,2.307
C2,A,4,Mix_17aa,ath-miR159,Plant,2,39,2.304
C2,A,4,Mix_17aa,ath-miR159,Plant,2,40,2.299
C2,A,4,Mix_17aa,ath-miR159,Plant,2,41,2.307
C2,A,4,Mix_17aa,ath-miR159,Plant,2,42,2.296
C2,A,4,Mix_17aa,ath-miR159,Plant,2,43,2.297
C2,A,4,Mix_17aa,ath-miR159,Plant,2,44,2.29
C2,A,4,Mix_17aa,ath-miR159,Plant,2,45,2.29
C2,A,4,Mix_17aa,ath-miR159,Plant,2,46,2.294
C2,A,4,Mix_17aa,ath-miR159,Plant,2,47,2.287
C2,A,4,Mix_17aa,ath-miR159,Plant,2,48,2.289
C2,A,4,Mix_17aa,ath-miR159,Plant,2,49,2.285
C2,A,4,Mix_17aa,ath-miR159,Plant,2,50,2.281
C2,A,4,Mix_17aa,ath-miR159,Plant,2,51,2.281
C2,A,4,Mix_17aa,ath-miR159,Plant,2,52,2.279
C3,A,4,Mix_17aa,Mix5,Plant,10,0,0.148
C3,A,4,Mix_17aa,Mix5,Plant,10,1,0.203
C3,A,4,Mix_17aa,Mix5,Plant,10,2,0.368
C3,A,4,Mix_17aa,Mix5,Plant,10,3,0.538
C3,A,4,Mix_17aa,Mix5,Plant,10,4,0.862
C3,A,4,Mix_17aa,Mix5,Plant,10,5,1.399
C3,A,4,Mix_17aa,Mix5,Plant,10,6,1.743
C3,A,4,Mix_17aa,Mix5,Plant,10,7,1.898
C3,A,4,Mix_17aa,Mix5,Plant,10,8,1.994
C3,A,4,Mix_17aa,Mix5,Plant,10,9,2.051
C3,A,4,Mix_17aa,Mix5,Plant,10,10,2.089
C3,A,4,Mix_17aa,Mix5,Plant,10,11,2.109
C3,A,4,Mix_17aa,Mix5,Plant,10,12,2.122
C3,A,4,Mix_17aa,Mix5,Plant,10,13,2.129
C3,A,4,Mix_17aa,Mix5,Plant,10,14,2.13
C3,A,4,Mix_17aa,Mix5,Plant,10,15,2.132
C3,A,4,Mix_17aa,Mix5,Plant,10,16,2.133
C3,A,4,Mix_17aa,Mix5,Plant,10,17,2.135
C3,A,4,Mix_17aa,Mix5,Plant,10,18,2.133
C3,A,4,Mix_17aa,Mix5,Plant,10,19,2.134
C3,A,4,Mix_17aa,Mix5,Plant,10,20,2.138
C3,A,4,Mix_17aa,Mix5,Plant,10,21,2.137
C3,A,4,Mix_17aa,Mix5,Plant,10,22,2.139
C3,A,4,Mix_17aa,Mix5,Plant,10,23,2.139
C3,A,4,Mix_17aa,Mix5,Plant,10,24,2.136
C3,A,4,Mix_17aa,Mix5,Plant,10,25,2.136
C3,A,4,Mix_17aa,Mix5,Plant,10,26,2.13
C3,A,4,Mix_17aa,Mix5,Plant,10,27,2.127
C3,A,4,Mix_17aa,Mix5,Plant,10,28,2.128
C3,A,4,Mix_17aa,Mix5,Plant,10,29,2.124
C3,A,4,Mix_17aa,Mix5,Plant,10,30,2.124
C3,A,4,Mix_17aa,Mix5,Plant,10,31,2.12
C3,A,4,Mix_17aa,Mix5,Plant,10,32,2.118
C3,A,4,Mix_17aa,Mix5,Plant,10,33,2.118
C3,A,4,Mix_17aa,Mix5,Plant,10,34,2.115
C3,A,4,Mix_17aa,Mix5,Plant,10,35,2.115
C3,A,4,Mix_17aa,Mix5,Plant,10,36,2.115
C3,A,4,Mix_17aa,Mix5,Plant,10,37,2.112
C3,A,4,Mix_17aa,Mix5,Plant,10,38,2.112
C3,A,4,Mix_17aa,Mix5,Plant,10,39,2.109
C3,A,4,Mix_17aa,Mix5,Plant,10,40,2.108
C3,A,4,Mix_17aa,Mix5,Plant,10,41,2.11
C3,A,4,Mix_17aa,Mix5,Plant,10,42,2.107
C3,A,4,Mix_17aa,Mix5,Plant,10,43,2.107
C3,A,4,Mix_17aa,Mix5,Plant,10,44,2.103
C3,A,4,Mix_17aa,Mix5,Plant,10,45,2.108
C3,A,4,Mix_17aa,Mix5,Plant,10,46,2.109
C3,A,4,Mix_17aa,Mix5,Plant,10,47,2.109
C3,A,4,Mix_17aa,Mix5,Plant,10,48,2.111
C3,A,4,Mix_17aa,Mix5,Plant,10,49,2.113
C3,A,4,Mix_17aa,Mix5,Plant,10,50,2.109
C3,A,4,Mix_17aa,Mix5,Plant,10,51,2.105
C3,A,4,Mix_17aa,Mix5,Plant,10,52,2.111
C4,A,4,Mix_17aa,Mix5,Scramble,10,0,0.153
C4,A,4,Mix_17aa,Mix5,Scramble,10,1,0.214
C4,A,4,Mix_17aa,Mix5,Scramble,10,2,0.373
C4,A,4,Mix_17aa,Mix5,Scramble,10,3,0.564
C4,A,4,Mix_17aa,Mix5,Scramble,10,4,0.858
C4,A,4,Mix_17aa,Mix5,Scramble,10,5,1.381
C4,A,4,Mix_17aa,Mix5,Scramble,10,6,1.737
C4,A,4,Mix_17aa,Mix5,Scramble,10,7,1.878
C4,A,4,Mix_17aa,Mix5,Scramble,10,8,1.967
C4,A,4,Mix_17aa,Mix5,Scramble,10,9,2.034
C4,A,4,Mix_17aa,Mix5,Scramble,10,10,2.081
C4,A,4,Mix_17aa,Mix5,Scramble,10,11,2.104
C4,A,4,Mix_17aa,Mix5,Scramble,10,12,2.119
C4,A,4,Mix_17aa,Mix5,Scramble,10,13,2.127
C4,A,4,Mix_17aa,Mix5,Scramble,10,14,2.127
C4,A,4,Mix_17aa,Mix5,Scramble,10,15,2.126
C4,A,4,Mix_17aa,Mix5,Scramble,10,16,2.125
C4,A,4,Mix_17aa,Mix5,Scramble,10,17,2.126
C4,A,4,Mix_17aa,Mix5,Scramble,10,18,2.121
C4,A,4,Mix_17aa,Mix5,Scramble,10,19,2.119
C4,A,4,Mix_17aa,Mix5,Scramble,10,20,2.123
